% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
MP-BACD15	2.59091900E+000	-1.25947600E-002	1.52020500E-002	2.99998000E-004	-1.13154700E-005	9.15464000E-007
M-LAC8	2.88174810E+000	-1.57308040E-002	1.76904930E-002	1.05266900E-003	-9.90930800E-005	5.52483780E-006
MP-LAC8-30	2.88274980E+000	-1.57407890E-002	1.77079760E-002	1.04832650E-003	-9.83328110E-005	5.48286850E-006
M-LAC14	2.82783860E+000	-1.47739390E-002	1.82117330E-002	4.93119640E-004	-2.54868860E-005	1.67954870E-006
MP-LAC14-80	2.83067330E+000	-1.48558630E-002	1.81034720E-002	5.35399710E-004	-3.19297780E-005	2.03409830E-006
M-LAC130	2.81341200E+000	-1.33244800E-002	1.92786500E-002	4.12445200E-004	-9.94043200E-006	9.62202400E-007
MP-LAC130	2.81341200E+000	-1.33244800E-002	1.92786500E-002	4.12445200E-004	-9.94043200E-006	9.62202400E-007
MC-LAC130	2.81341200E+000	-1.33244800E-002	1.92786500E-002	4.12445200E-004	-9.94043200E-006	9.62202400E-007
M-TAC60	3.01786600E+000	-1.57909340E-002	2.11447020E-002	9.31373890E-004	-6.93799140E-005	4.02762000E-006
MP-TAC60-90	3.02092140E+000	-1.57801000E-002	2.11425300E-002	9.55565540E-004	-7.44898190E-005	4.36063200E-006
M-TAC80	2.93519480E+000	-1.61934580E-002	1.83922870E-002	1.00861670E-003	-8.75654740E-005	4.69213330E-006
MP-TAC80-60	2.93721280E+000	-1.61857890E-002	1.83951400E-002	1.02660710E-003	-9.23798720E-005	5.05092370E-006
M-FD80	2.76163800E+000	-1.13263300E-002	2.86534600E-002	1.52903800E-003	-8.74357700E-005	1.49657900E-005
MP-FD80	2.76163800E+000	-1.13263300E-002	2.86534600E-002	1.52903800E-003	-8.74357700E-005	1.49657900E-005
M-FDS1	3.49842240E+000	-1.68954200E-002	5.75670780E-002	5.16936680E-003	-3.99663100E-004	6.23685820E-005
MP-FDS1	3.49842240E+000	-1.68954200E-002	5.75670780E-002	5.16936680E-003	-3.99663100E-004	6.23685820E-005
M-FDS2	3.77158100E+000	-2.04453640E-002	6.39425790E-002	8.35454700E-003	-8.20319840E-004	1.02795070E-004
MP-FDS2	3.77158100E+000	-2.04453640E-002	6.39425790E-002	8.35454700E-003	-8.20319840E-004	1.02795070E-004
MC-FDS2	3.77158100E+000	-2.04453640E-002	6.39425790E-002	8.35454700E-003	-8.20319840E-004	1.02795070E-004
M-FDS910	3.16598700E+000	-1.34919600E-002	4.64991800E-002	2.47141300E-003	-8.65959600E-005	2.72592700E-005
MP-FDS910-50	3.16679020E+000	-1.31414160E-002	4.71786560E-002	2.26842840E-003	-5.36723870E-005	2.53284220E-005
MC-FDS910-50	3.16679020E+000	-1.31414160E-002	4.71786560E-002	2.26842840E-003	-5.36723870E-005	2.53284220E-005
M-LAF81	2.91678860E+000	-1.23981990E-002	2.66752370E-002	6.51905040E-004	4.69561750E-006	2.69105400E-006
MP-LAF81	2.91678860E+000	-1.23981990E-002	2.66752370E-002	6.51905040E-004	4.69561750E-006	2.69105400E-006
M-NBF1	2.97524500E+000	-1.42501600E-002	2.14007400E-002	9.75533700E-004	-6.97953000E-005	4.11492400E-006
MP-NBF1	2.97524500E+000	-1.42501600E-002	2.14007400E-002	9.75533700E-004	-6.97953000E-005	4.11492400E-006
MC-NBF1	2.97524500E+000	-1.42501600E-002	2.14007400E-002	9.75533700E-004	-6.97953000E-005	4.11492400E-006
M-NBFD10	3.26462300E+000	-1.58197700E-002	3.22589400E-002	1.70931200E-003	-1.08195700E-004	1.05832300E-005
MP-NBFD10-20	3.27225860E+000	-1.88172110E-002	2.72645080E-002	3.27891930E-003	-3.28276720E-004	2.17433620E-005
